District;Full name of candidate;F;H;18-30;31-65;65+;Commune;#votes;Committee 1
Conthey;Thomas Armour;;1;;;1;Chamoson;7;
Conthey;Pascal Coudray;;1;;1;;Vétroz;29;1
Conthey;Gilles Crettenand;;1;;1;;Nendaz;20;1
Conthey;Letizia D'Andrea;1;;;1;;Conthey;48;1
Conthey;Thierry Dewier;;1;;1;;Ardon;30;1
Conthey;Florian Evequoz;;1;;1;;Conthey;73;1
Conthey;Pascale Fumeaux;1;;;1;;Conthey;78;1
Conthey;Aline Giroud;1;;;1;;Chamoson;59;1
Conthey;Ana Gross;1;;;1;;Vétroz;41;1
Conthey;Xavier Guyaz;;1;1;;;Conthey;41;1
Conthey;Jean-Pierre Lonfat;;1;;;1;Conthey;24;1
Conthey;Marie-Odile Luyet;1;;;;1;Conthey;27;1
Conthey;Hugo Mabillard;;1;;1;;Vétroz;16;
Conthey;Laurent Zufferey;;1;;1;;Vétroz;11;
